Component,Manufacturer Part Number,Manufacturer1 Part Number,References,Quantity Per PCB,Part,Value,Footprint,SMD,Mounted,Part Description,Pin Count,Part Number,Val
117,VM53S3-25.000-2.5/-30+75,,Y2,1,Oscillator_1VC_2GND_3OUT_4+Vs-clocks-SchDoc-cache-AMC_FMC_Carrier-PcbDoc-rescue,VM53S3-25.000-2.5/-30+75,OSCCC320X500X160-4N,,,,,,
118,7M-12.000MAAJ-T,,Y4,1,XTAL_12MHZ_TXC_7M-12.000MAAJ-T,XTAL_12MHZ_TXC_7M-12.000MAAJ-T,XTAL_TXC_7M,Yes,Yes,"±30ppm 18pF -20°C to +70°C  4 Pins, 3.2x2.5X0.8mm, SMD Sealing Crystal, 7M Series",4,XTAL_12MHZ_TXC_7M-12.000MAAJ-T,12MHz





Component Groups:,127
Component Count:,860
Fitted Components:,808
Number of PCBs:,1
Total components:,808
Schematic Version:,9
Schematic Date:,2019-01-16
PCB Variant:,standalone
BoM Date:,8/4/2019 9:58:39 PM
Schematic Source:,C:\Users\micha\Desktop\Projekty\AMC FMC\import z altiuma\git marble\Marble\AMC_FMC_Carrier-PcbDoc.sch
KiCad Version:,Eeschema (5.1.2)-2
